duration_time,team_1_result,team_1_kills,team_1_deaths,team_1_assits,team_2_result,team_2_kills,team_2_deaths,team_2_assits
1909,1,28,11,48,0,11,28,25
1415,0,12,27,13,1,27,12,38
1693,0,29,27,47,1,27,29,54
2010,1,24,10,38,0,10,24,14
1967,0,23,31,60,1,31,23,62
2017,0,21,32,51,1,32,21,59
1694,1,24,15,53,0,15,24,27
1569,1,40,20,60,0,20,40,19
1566,0,8,27,16,1,27,9,45
1951,0,32,39,49,1,39,32,62
1278,0,9,31,13,1,31,9,45
2524,1,38,36,74,0,36,38,54
2332,0,30,33,56,1,32,30,57
2133,1,29,35,54,0,33,29,67
1763,0,24,33,45,1,33,24,64
1360,0,11,20,13,1,20,11,35
1773,1,38,19,63,0,19,39,23
1631,1,32,21,59,0,21,32,25
1866,1,20,17,35,0,17,20,28
2269,1,35,29,77,0,29,35,57
1306,1,25,17,50,0,17,25,35
2072,1,41,24,67,0,24,41,44
1861,1,36,45,62,0,45,36,84
1613,1,26,19,39,0,19,26,23
1208,0,3,14,3,1,14,3,15
1421,0,11,23,10,1,23,11,34
1500,1,35,16,58,0,16,35,34
1163,0,5,18,5,1,18,5,20
912,0,4,18,1,1,18,4,15
967,0,3,20,6,1,20,3,28
1142,1,18,8,24,0,8,18,7
1135,1,16,2,15,0,2,16,2
1291,0,12,21,22,1,21,12,23
930,1,15,1,25,0,1,15,1
1648,0,18,32,33,1,31,18,34
2682,1,40,30,75,0,30,40,67
2154,0,29,34,24,1,34,29,48
950,1,15,6,20,0,6,15,7
1908,1,35,20,51,0,20,35,27
1877,0,25,30,51,1,30,25,51
1970,0,16,29,33,1,29,16,58
1986,0,27,31,56,1,31,27,50
1290,1,32,9,67,0,9,32,7
1927,0,28,39,51,1,39,28,65
1946,1,37,17,65,0,17,37,26
929,1,30,6,24,0,6,30,5
1661,0,14,33,21,1,33,14,64
1772,0,18,29,35,1,29,19,48
1452,0,11,30,15,1,30,11,41
1349,1,22,11,26,0,11,22,11
1286,1,17,4,30,0,4,17,4
1677,1,26,11,47,0,11,26,13
1545,1,33,17,44,0,17,33,24
1473,1,23,18,45,0,18,23,37
935,0,2,23,2,1,23,2,21
1252,1,28,12,51,0,11,28,16
204,0,1,0,1,1,0,1,0
1450,1,33,11,39,0,11,33,12
1082,1,16,10,21,0,10,16,6
1149,0,7,22,12,1,22,7,23
1429,1,20,12,39,0,12,20,22
1741,1,34,30,52,0,30,34,47
1656,0,7,24,12,1,24,7,51
1664,1,36,21,67,0,21,36,37
1944,1,25,19,53,0,19,25,29
1098,0,10,20,11,1,20,10,20
2009,1,28,22,40,0,22,28,43
1438,0,16,31,22,1,31,16,40
1196,0,7,30,11,1,30,7,37
1890,0,36,41,69,1,41,36,71
1511,1,21,9,39,0,9,21,12
1213,0,11,12,11,1,12,11,17
1552,0,17,28,32,1,28,17,36
1294,0,9,22,11,1,22,9,44
966,0,4,20,3,1,20,4,33
1694,0,27,31,42,1,30,27,46
1482,0,22,37,31,1,37,22,35
1520,0,21,31,23,1,31,21,35
1365,1,26,14,37,0,14,26,12
1967,0,28,32,54,1,32,28,43
2206,0,20,36,24,1,36,20,58
2169,0,39,34,45,1,34,39,48
967,0,3,16,2,1,16,3,16
1681,1,40,28,66,0,28,40,59
1431,0,26,29,36,1,29,26,40
2343,0,24,30,41,1,30,24,45
1147,0,1,18,0,1,18,1,15
1801,1,39,29,60,0,29,40,33
1087,0,7,12,13,1,12,7,29
1597,1,29,11,51,0,11,29,16
930,1,12,4,18,0,4,12,3
1367,1,28,15,34,0,15,28,26
1394,1,30,21,55,0,21,30,37
1338,1,14,10,25,0,10,14,9
1427,1,32,18,53,0,18,32,26
1448,1,46,16,54,0,16,46,17
1474,1,29,11,34,0,11,30,13
2021,0,25,38,51,1,38,25,62
1278,0,5,18,7,1,18,5,30
912,1,17,10,20,0,10,17,12
1557,1,23,11,37,0,11,23,23
912,0,5,19,6,1,19,5,28
1163,1,26,10,37,0,10,26,8
1445,1,25,10,38,0,10,25,14
1446,0,23,36,26,1,36,23,58
